DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               CavityPressure            CavityTemp                DasTemp                   EtalonTemp                WarmBoxTemp               species                   MPVPosition               OutletValve               solenoid_valves           CO2                       CO2_dry                   CH4                       CH4_dry                   H2O                       GPS_ABS_LAT               GPS_ABS_LONG              GPS_FIT                   WS_WIND_LON               WS_WIND_LAT               WS_COS_HEADING            WS_SIN_HEADING            WIND_N                    WIND_E                    WIND_DIR_SDEV             WS_ROTATION               CAR_SPEED                 
2017-03-23                19:04:30.582              81.46146508               1955.075162               82.46146508               1490295870.583            0                         963                       1.4002075195E+02          4.5004142761E+01          5.8750000000E+01          4.4707786560E+01          4.4989433289E+01          2.0000000000E+00          0.0000000000E+00          2.8925072266E+04          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          1.9716164811E+00          0.0000000000E+00          0.0000000000E+00          3.3515379767E+01          -8.6808936745E+01         2.0000000000E+00          5.7869306931E+00          -1.6000000000E+00         5.0500258409E-01          -8.6304500383E-01         NAN                       NAN                       NAN                       -9.3198568213E+00         NAN                       
2017-03-23                19:04:31.053              81.46147053               1955.075293               82.46147053               1490295871.054            0                         963                       1.4002075195E+02          4.5004142761E+01          5.8750000000E+01          4.4707786560E+01          4.4989433289E+01          2.0000000000E+00          0.0000000000E+00          2.8925072266E+04          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          1.9672330439E+00          0.0000000000E+00          0.0000000000E+00          3.3515398222E+01          -8.6808939900E+01         2.0000000000E+00          5.4580904523E+00          -1.8128643216E+00         4.9450144745E-01          -8.6910901514E-01         NAN                       NAN                       NAN                       -9.3198568213E+00         NAN                       
2017-03-23                19:04:31.520              81.46147594               1955.075422               82.46147594               1490295871.521            0                         963                       1.4000537784E+02          4.5004142761E+01          5.8750000000E+01          4.4707786560E+01          4.4989433289E+01          2.0000000000E+00          0.0000000000E+00          2.8921550555E+04          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          1.9644357683E+00          0.0000000000E+00          0.0000000000E+00          3.3515407687E+01          -8.6808924055E+01         2.0000000000E+00          5.2703517588E+00          -2.0944723618E+00         4.8522853444E-01          -8.7434469973E-01         NAN                       NAN                       NAN                       -9.3198568213E+00         NAN                       
2017-03-23                19:04:31.986              81.46148132               1955.075552               82.46148132               1490295871.986            0                         963                       1.4001696215E+02          4.5004142761E+01          5.8750000000E+01          4.4707786560E+01          4.4989433289E+01          2.0000000000E+00          0.0000000000E+00          2.8927593339E+04          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          1.9629066947E+00          0.0000000000E+00          0.0000000000E+00          3.3515416421E+01          -8.6808906795E+01         2.0000000000E+00          4.7355355355E+00          -2.1419419419E+00         4.8086485860E-01          -8.7679329232E-01         NAN                       NAN                       NAN                       -9.3198568213E+00         NAN                       
2017-03-23                19:04:32.450              81.46148670               1955.075681               82.46148670               1490295872.451            0                         963                       1.4002221680E+02          4.5004142761E+01          5.8750000000E+01          4.4707786560E+01          4.4989433289E+01          2.0000000000E+00          0.0000000000E+00          2.8930591797E+04          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          1.9623908541E+00          0.0000000000E+00          0.0000000000E+00          3.3515419267E+01          -8.6808879598E+01         2.0000000000E+00          3.9907907908E+00          -2.0488488488E+00         4.7943968891E-01          -8.7757354993E-01         NAN                       NAN                       NAN                       -9.3198568213E+00         NAN                       
2017-03-23                19:04:32.914              81.46149207               1955.075810               82.46149207               1490295872.915            0                         963                       1.4002279888E+02          4.5004142761E+01          5.8750000000E+01          4.4707786560E+01          4.4989433289E+01          2.0000000000E+00          0.0000000000E+00          2.8930861205E+04          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          1.9621875194E+00          0.0000000000E+00          0.0000000000E+00          3.3515420265E+01          -8.6808849349E+01         2.0000000000E+00          3.6000000000E+00          -2.0000000000E+00         4.7767804137E-01          -8.7853228792E-01         NAN                       NAN                       NAN                       -9.3198568213E+00         NAN                       
2017-03-23                19:04:33.380              81.46149745               1955.075939               82.46149745               1490295873.380            0                         963                       1.4002912903E+02          4.5004142761E+01          5.8750000000E+01          4.4707786560E+01          4.4989433289E+01          2.0000000000E+00          0.0000000000E+00          2.8933791016E+04          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          1.9621306889E+00          0.0000000000E+00          0.0000000000E+00          3.3515424626E+01          -8.6808821801E+01         2.0000000000E+00          3.6000000000E+00          -2.0000000000E+00         4.7553520179E-01          -8.7969333477E-01         NAN                       NAN                       NAN                       -9.3198568213E+00         NAN                       
2017-03-23                19:04:33.848              81.46150287               1955.076069               82.46150287               1490295873.848            0                         963                       1.4002372260E+02          4.5004194802E+01          5.8750000000E+01          4.4707965811E+01          4.4989971040E+01          2.0000000000E+00          0.0000000000E+00          2.8933323623E+04          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          1.9658336009E+00          0.0000000000E+00          0.0000000000E+00          3.3515430981E+01          -8.6808795695E+01         2.0000000000E+00          3.6000000000E+00          -2.0000000000E+00         4.6834035241E-01          -8.8341868035E-01         NAN                       NAN                       NAN                       -9.3198568213E+00         NAN                       
2017-03-23                19:04:34.313              81.46150826               1955.076198               82.46150826               1490295874.314            0                         963                       1.4000059509E+02          4.5004417419E+01          5.8750000000E+01          4.4708732605E+01          4.4992271423E+01          2.0000000000E+00          0.0000000000E+00          2.8931324219E+04          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          1.9658892515E+00          0.0000000000E+00          0.0000000000E+00          3.3515438343E+01          -8.6808770201E+01         2.0000000000E+00          3.6000000000E+00          -2.0000000000E+00         4.5094748750E-01          -8.9231905899E-01         NAN                       NAN                       NAN                       -9.3198568213E+00         NAN                       
2017-03-23                19:04:34.778              81.46151363               1955.076327               82.46151363               1490295874.778            0                         963                       1.4000625851E+02          4.5004417419E+01          5.8750000000E+01          4.4708732605E+01          4.4992271423E+01          2.0000000000E+00          0.0000000000E+00          2.8932541406E+04          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          1.9660536272E+00          0.0000000000E+00          0.0000000000E+00          3.3515446834E+01          -8.6808745380E+01         2.0000000000E+00          3.6000000000E+00          -1.9829829830E+00         4.4795150440E-01          -8.9305545675E-01         NAN                       NAN                       NAN                       -9.3198568213E+00         NAN                       
2017-03-23                19:04:35.249              81.46151909               1955.076458               82.46151909               1490295875.249            0                         963                       1.4001671737E+02          4.5004417419E+01          5.8750000000E+01          4.4708732605E+01          4.4992271423E+01          2.0000000000E+00          0.0000000000E+00          2.8936281291E+04          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          1.9682623133E+00          0.0000000000E+00          0.0000000000E+00          3.3515453132E+01          -8.6808720702E+01         2.0000000000E+00          3.6000000000E+00          -1.8886886887E+00         5.0973404854E-01          -8.5702494192E-01         NAN                       NAN                       NAN                       -9.3198568213E+00         NAN                       
2017-03-23                19:04:35.717              81.46152451               1955.076588               82.46152451               1490295875.718            0                         963                       1.3996598816E+02          4.5004417419E+01          5.8750000000E+01          4.4708732605E+01          4.4992271423E+01          2.0000000000E+00          0.0000000000E+00          2.8923382812E+04          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          1.9720454470E+00          0.0000000000E+00          0.0000000000E+00          3.3515455155E+01          -8.6808697075E+01         2.0000000000E+00          3.6000000000E+00          -1.8000000000E+00         5.6504220054E-01          -8.2481970630E-01         NAN                       NAN                       NAN                       -9.3198568213E+00         NAN                       
2017-03-23                19:04:36.187              81.46152994               1955.076719               82.46152994               1490295876.187            0                         963                       1.3996598816E+02          4.5004417419E+01          5.8750000000E+01          4.4708732605E+01          4.4992271423E+01          2.0000000000E+00          0.0000000000E+00          2.8923382812E+04          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          1.9720710411E+00          0.0000000000E+00          0.0000000000E+00          3.3515456376E+01          -8.6808674600E+01         1.8097165992E+00          3.6000000000E+00          -1.8000000000E+00         5.1450664762E-01          -8.5518452991E-01         NAN                       NAN                       NAN                       -9.3198568213E+00         NAN                       
2017-03-23                19:04:36.651              81.46153531               1955.076848               82.46153531               1490295876.651            0                         963                       1.4005151367E+02          4.5004417419E+01          5.8687500000E+01          4.4708732605E+01          4.4992271423E+01          2.0000000000E+00          0.0000000000E+00          2.8968523438E+04          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          1.9736988241E+00          0.0000000000E+00          0.0000000000E+00          3.3515454417E+01          -8.6808656912E+01         8.7044534413E-01          3.6000000000E+00          -1.8000000000E+00         4.6450985326E-01          -8.8522563472E-01         NAN                       NAN                       NAN                       -9.3198568213E+00         NAN                       
2017-03-23                19:04:37.115              81.46154069               1955.076977               82.46154069               1490295877.116            0                         963                       1.4005151367E+02          4.5004417419E+01          5.8687500000E+01          4.4708732605E+01          4.4992271423E+01          2.0000000000E+00          0.0000000000E+00          2.8968523438E+04          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          1.9752339540E+00          0.0000000000E+00          0.0000000000E+00          3.3515452602E+01          -8.6808640520E+01         0.0000000000E+00          3.6000000000E+00          -1.8000000000E+00         4.6604392371E-01          -8.8472759955E-01         NAN                       NAN                       NAN                       -9.3198568213E+00         NAN                       
2017-03-23                19:04:37.581              81.46154608               1955.077106               82.46154608               1490295877.581            0                         963                       1.4005151367E+02          4.5004417419E+01          5.8687500000E+01          4.4708732605E+01          4.4992271423E+01          2.0000000000E+00          0.0000000000E+00          2.8968523438E+04          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          1.9752665234E+00          0.0000000000E+00          0.0000000000E+00          3.3515452602E+01          -8.6808640520E+01         0.0000000000E+00          3.6000000000E+00          -1.8000000000E+00         4.7243809923E-01          -8.8134919885E-01         NAN                       NAN                       NAN                       -9.3198568213E+00         NAN                       
