DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               CavityPressure            CavityTemp                DasTemp                   EtalonTemp                WarmBoxTemp               species                   MPVPosition               OutletValve               solenoid_valves           CO2                       CO2_dry                   CH4                       CH4_dry                   H2O                       GPS_ABS_LAT               GPS_ABS_LONG              GPS_FIT                   WS_WIND_LON               WS_WIND_LAT               WS_COS_HEADING            WS_SIN_HEADING            WIND_N                    WIND_E                    WIND_DIR_SDEV             WS_ROTATION               CAR_SPEED                 
2017-03-14                21:34:07.220              72.56536135               1741.568672               73.56536135               1489527247.221            0                         963                       1.4000266322E+02          4.4994194031E+01          3.8750000000E+01          4.4707420349E+01          4.4982078552E+01          2.0000000000E+00          0.0000000000E+00          2.7976057299E+04          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          1.9891375902E+00          0.0000000000E+00          0.0000000000E+00          3.3495616863E+01          -8.6797403297E+01         2.0000000000E+00          -1.0049108911E+01         -2.2000000000E+00         -9.4880253999E-01         -3.1355193433E-01         2.5955355908E+00          3.4749970483E+00          3.8913100108E+01          -7.7507232328E+01         6.8027432175E+00          
2017-03-14                21:34:07.686              72.56536674               1741.568802               73.56536674               1489527247.686            0                         963                       1.4001412964E+02          4.4994194031E+01          3.8687500000E+01          4.4707420349E+01          4.4982078552E+01          2.0000000000E+00          0.0000000000E+00          2.7982734375E+04          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          1.9880577855E+00          0.0000000000E+00          0.0000000000E+00          3.3495591405E+01          -8.6797385741E+01         2.0000000000E+00          -2.7748514851E+00         -2.2000000000E+00         -9.1657365392E-01         -3.8966303132E-01         2.6165169888E+00          3.4475678675E+00          3.8965806320E+01          -7.7504717398E+01         6.9603090574E+00          
2017-03-14                21:34:08.151              72.56537213               1741.568931               73.56537213               1489527248.152            0                         963                       1.4001918624E+02          4.4994194031E+01          3.8687500000E+01          4.4707420349E+01          4.4982078552E+01          2.0000000000E+00          0.0000000000E+00          2.7985107607E+04          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          1.9887237040E+00          0.0000000000E+00          0.0000000000E+00          3.3495565891E+01          -8.6797368147E+01         2.0000000000E+00          4.5150495050E+00          -2.2000000000E+00         -8.8427545842E-01         -4.6593780809E-01         2.6302215083E+00          3.4087015543E+00          3.9729114771E+01          -7.7502227265E+01         7.0415591356E+00          
2017-03-14                21:34:08.618              72.56537753               1741.569061               73.56537753               1489527248.619            0                         963                       1.4002319336E+02          4.4994194031E+01          3.8687500000E+01          4.4707420349E+01          4.4982078552E+01          2.0000000000E+00          0.0000000000E+00          2.7986988281E+04          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          1.9884480070E+00          0.0000000000E+00          0.0000000000E+00          3.3495539981E+01          -8.6797351085E+01         2.0000000000E+00          5.6110110110E+00          -2.2000000000E+00         -8.9797802586E-01         -4.3807560385E-01         2.6287972683E+00          3.3461965452E+00          4.1964931315E+01          -7.7499794319E+01         6.9642914661E+00          
2017-03-14                21:34:09.092              72.56538302               1741.569192               73.56538302               1489527249.093            0                         963                       1.3999502114E+02          4.4994194031E+01          3.8687500000E+01          4.4707420349E+01          4.4982078552E+01          2.0000000000E+00          0.0000000000E+00          2.7979793215E+04          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          1.9882047278E+00          0.0000000000E+00          0.0000000000E+00          3.3495513678E+01          -8.6797333772E+01         2.0000000000E+00          6.2752752753E+00          -2.2000000000E+00         -9.1521070881E-01         -4.0226873349E-01         2.6319353531E+00          3.2797986188E+00          4.4250993690E+01          -7.7497391775E+01         6.8754806627E+00          
2017-03-14                21:34:09.558              72.56538840               1741.569322               73.56538840               1489527249.558            0                         963                       1.3998285153E+02          4.4994218124E+01          3.8697368421E+01          4.4707429986E+01          4.4982136375E+01          2.0000000000E+00          0.0000000000E+00          2.7976028269E+04          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          1.9878342885E+00          0.0000000000E+00          0.0000000000E+00          3.3495488839E+01          -8.6797318041E+01         2.0000000000E+00          6.7384000000E+00          -2.2000000000E+00         -9.1525597981E-01         -4.0274505284E-01         2.6534355786E+00          3.2027812404E+00          4.6560897607E+01          -7.7495303601E+01         6.7466191734E+00          
2017-03-14                21:34:10.032              72.56539390               1741.569454               73.56539390               1489527250.033            0                         963                       1.3996669006E+02          4.4994346619E+01          3.8750000000E+01          4.4707481384E+01          4.4982444763E+01          2.0000000000E+00          0.0000000000E+00          2.7966320312E+04          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          1.9887494785E+00          0.0000000000E+00          0.0000000000E+00          3.3495463591E+01          -8.6797302137E+01         2.0000000000E+00          7.1659000000E+00          -2.2000000000E+00         -9.1122555234E-01         -4.1184022938E-01         2.6744721364E+00          3.1220731747E+00          4.9090205075E+01          -7.7493183090E+01         6.6140609773E+00          
2017-03-14                21:34:10.506              72.56539938               1741.569585               73.56539938               1489527250.506            0                         963                       1.3996669006E+02          4.4994346619E+01          3.8750000000E+01          4.4707481384E+01          4.4982444763E+01          2.0000000000E+00          0.0000000000E+00          2.7966320312E+04          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          1.9879464704E+00          0.0000000000E+00          0.0000000000E+00          3.3495438702E+01          -8.6797287461E+01         2.0000000000E+00          7.7531468531E+00          -1.5202797203E+00         -9.1740332234E-01         -3.9698930181E-01         2.6830690459E+00          3.0145710382E+00          5.3872620118E+01          -7.7491239177E+01         6.4697171312E+00          
2017-03-14                21:34:10.983              72.56540490               1741.569718               73.56540490               1489527250.983            0                         963                       1.3996291713E+02          4.4994346619E+01          3.8692763158E+01          4.4707481384E+01          4.4982444763E+01          2.0000000000E+00          0.0000000000E+00          2.7959446525E+04          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          1.9872974529E+00          0.0000000000E+00          0.0000000000E+00          3.3495413691E+01          -8.6797273073E+01         2.0000000000E+00          8.4202797203E+00          -5.1958041958E-01         -9.2835967589E-01         -3.7092516667E-01         2.6917386566E+00          2.9061597927E+00          5.8695478418E+01          -7.7489278825E+01         6.3241526184E+00          
2017-03-14                21:34:11.461              72.56541044               1741.569851               73.56541044               1489527251.462            0                         963                       1.3995984208E+02          4.4994346619E+01          3.8687500000E+01          4.4707481384E+01          4.4982444763E+01          2.0000000000E+00          0.0000000000E+00          2.7954659807E+04          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          1.9875371725E+00          0.0000000000E+00          0.0000000000E+00          3.3495389012E+01          -8.6797262046E+01         2.0000000000E+00          8.5324324324E+00          -4.4144144144E-02         -9.2985622059E-01         -3.6768223270E-01         2.3789280441E+00          2.4924857652E+00          6.4166041826E+01          -7.7487717568E+01         5.9675782076E+00          
