DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               CavityPressure            CavityTemp                DasTemp                   EtalonTemp                WarmBoxTemp               species                   MPVPosition               OutletValve               solenoid_valves           CO2                       CO2_dry                   CH4                       CH4_dry                   H2O                       GPS_ABS_LAT               GPS_ABS_LONG              GPS_FIT                   WS_WIND_LON               WS_WIND_LAT               WS_COS_HEADING            WS_SIN_HEADING            WIND_N                    WIND_E                    WIND_DIR_SDEV             WS_ROTATION               CAR_SPEED                 
2017-03-24                20:43:03.709              82.52990404               1980.717697               83.52990404               1490388183.709            0                         963                       1.4000889587E+02          4.4996513367E+01          5.7625000000E+01          4.4716026306E+01          4.4995567322E+01          2.0000000000E+00          0.0000000000E+00          2.9512812500E+04          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          1.8984401710E+00          0.0000000000E+00          0.0000000000E+00          3.3521461248E+01          -8.6804445366E+01         2.0000000000E+00          9.5979020979E+00          3.4055944056E-01          -2.2293410187E-01         9.6890007723E-01          -4.7184737733E-01         -2.9538787599E+00         2.8917847793E+01          1.2319766898E+00          4.3774598886E+00          
2017-03-24                20:43:04.173              82.52990941               1980.717826               83.52990941               1490388184.173            0                         963                       1.4000889587E+02          4.4996513367E+01          5.7625000000E+01          4.4716026306E+01          4.4995567322E+01          2.0000000000E+00          0.0000000000E+00          2.9512812500E+04          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          1.8986513334E+00          0.0000000000E+00          0.0000000000E+00          3.3521466041E+01          -8.6804465878E+01         2.0000000000E+00          8.8098901099E+00          1.0879120879E-01          -6.9872289924E-02         9.8404278646E-01          -4.0279285426E-01         -2.7164225120E+00         3.3243011976E+01          1.2321124539E+00          4.2326153402E+00          
2017-03-24                20:43:04.637              82.52991478               1980.717955               83.52991478               1490388184.637            0                         963                       1.4000329927E+02          4.4996612950E+01          5.7625000000E+01          4.4716006389E+01          4.4995487655E+01          2.0000000000E+00          0.0000000000E+00          2.9511045806E+04          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          1.8987238695E+00          0.0000000000E+00          0.0000000000E+00          3.3521474452E+01          -8.6804484038E+01         2.0000000000E+00          7.9848848849E+00          -1.3683683684E-01         8.0178162233E-02          9.9517653653E-01          -3.0952365391E-01         -2.4233548403E+00         4.2416375364E+01          1.2324440104E+00          4.2660302620E+00          
2017-03-24                20:43:05.101              82.52992016               1980.718084               83.52992016               1490388185.102            0                         963                       1.4000507732E+02          4.4996665955E+01          5.7656578947E+01          4.4715995789E+01          4.4995445251E+01          2.0000000000E+00          0.0000000000E+00          2.9510495271E+04          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          1.8987437347E+00          0.0000000000E+00          0.0000000000E+00          3.3521483832E+01          -8.6804501794E+01         2.0000000000E+00          6.8212212212E+00          -5.0920920921E-01         2.0312892917E-01          9.6982653282E-01          -2.2408115662E-01         -2.1258234462E+00         5.1305304100E+01          1.2327825966E+00          4.3077480984E+00          
2017-03-24                20:43:05.565              82.52992553               1980.718213               83.52992553               1490388185.566            0                         963                       1.4000973511E+02          4.4996665955E+01          5.7687500000E+01          4.4715995789E+01          4.4995445251E+01          2.0000000000E+00          0.0000000000E+00          2.9510876953E+04          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          1.8988090963E+00          0.0000000000E+00          0.0000000000E+00          3.3521496404E+01          -8.6804518009E+01         2.0000000000E+00          5.6600600601E+00          -8.8078078078E-01         3.2581528585E-01          9.4453104524E-01          -1.6733018588E-01         -1.8153234257E+00         5.9094833743E+01          1.2331428813E+00          4.3786055444E+00          
2017-03-24                20:43:06.035              82.52993096               1980.718343               83.52993096               1490388186.035            0                         963                       1.4000973511E+02          4.4996665955E+01          5.7687500000E+01          4.4715995789E+01          4.4995445251E+01          2.0000000000E+00          0.0000000000E+00          2.9510876953E+04          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          1.8991274153E+00          0.0000000000E+00          0.0000000000E+00          3.3521509404E+01          -8.6804534014E+01         2.0000000000E+00          5.0675972084E+00          -9.0000000000E-01         4.5549402744E-01          8.7625835935E-01          -1.1269715200E-01         -1.5013446483E+00         6.6901152410E+01          1.2335035301E+00          4.4488206201E+00          
2017-03-24                20:43:06.503              82.52993639               1980.718473               83.52993639               1490388186.504            0                         963                       1.4000973511E+02          4.4996665955E+01          5.7687500000E+01          4.4715995789E+01          4.4995445251E+01          2.0000000000E+00          0.0000000000E+00          2.9510876953E+04          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          1.9000806443E+00          0.0000000000E+00          0.0000000000E+00          3.3521524803E+01          -8.6804546853E+01         2.0000000000E+00          4.5064805583E+00          -9.0000000000E-01         5.8547858479E-01          8.0568250307E-01          -9.1909639081E-02         -1.1857185111E+00         7.3874812647E+01          1.2338205530E+00          4.5016022834E+00          
2017-03-24                20:43:06.973              82.52994182               1980.718604               83.52994182               1490388186.973            0                         963                       1.4000956742E+02          4.4996665955E+01          5.7687500000E+01          4.4715995789E+01          4.4995445251E+01          2.0000000000E+00          0.0000000000E+00          2.9507883943E+04          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          1.9004182355E+00          0.0000000000E+00          0.0000000000E+00          3.3521540202E+01          -8.6804559693E+01         2.0000000000E+00          4.2478478478E+00          1.2702702703E-01          6.5760500762E-01          7.4887684063E-01          -7.1122126164E-02         -8.7009237394E-01         8.0848472883E+01          1.2341375758E+00          4.5543839467E+00          
2017-03-24                20:43:07.437              82.52994720               1980.718733               83.52994720               1490388187.438            0                         963                       1.4000946045E+02          4.4996665955E+01          5.7687500000E+01          4.4715995789E+01          4.4995445251E+01          2.0000000000E+00          0.0000000000E+00          2.9505974609E+04          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          1.8999275021E+00          0.0000000000E+00          0.0000000000E+00          3.3521557609E+01          -8.6804569928E+01         2.0000000000E+00          4.0616616617E+00          1.3837837838E+00          7.1568086901E-01          6.9575327939E-01          -3.7104793212E-02         -6.0751383357E-01         8.7082092978E+01          1.2344052618E+00          4.6034938272E+00          
2017-03-24                20:43:07.903              82.52995258               1980.718862               83.52995258               1490388187.903            0                         963                       1.4001582818E+02          4.4996665955E+01          5.7677631579E+01          4.4715995789E+01          4.4995445251E+01          2.0000000000E+00          0.0000000000E+00          2.9508367085E+04          0.0000000000E+00          0.0000000000E+00          0.0000000000E+00          1.9004104167E+00          0.0000000000E+00          0.0000000000E+00          3.3521575117E+01          -8.6804580044E+01         2.0000000000E+00          4.1245245245E+00          1.8933933934E+00          7.3820247984E-01          6.7453999111E-01          -2.2609944363E-03         -3.4803941104E-01         9.3273760541E+01          1.2346700732E+00          4.6524051147E+00          
